side,entry_p,sl,tp,lot,pnl,exit,exit_price,cb,cs,time,pt,time_clean,month
SELL,156.366,156.4000357142857,156.227986048783,0.005,5.175523170638031,PARTIAL_TP,156.26248953658725,3,5,2025-12-29 11:20:00,,2025-12-29 11:20:00,2025-12
SELL,156.366,156.4000357142857,156.227986048783,0.005,6.900697560850233,TP,,3,5,2025-12-29 11:00:00,False,2025-12-29 11:00:00,2025-12
BUY,156.705,156.64528571428573,156.79830768772888,0.01,-5.97142857142785,SL,,5,0,2025-12-31 21:50:00,True,2025-12-31 21:50:00,2025-12
BUY,157.584,157.50489285714286,157.8060762180116,0.005,8.327858175435665,PARTIAL_TP,157.75055716350872,5,0,2026-01-12 04:00:00,,2026-01-12 04:00:00,2026-01
BUY,157.584,157.50489285714286,157.8060762180116,0.005,11.103810900580413,TP,,5,0,2026-01-12 03:05:00,False,2026-01-12 03:05:00,2026-01
BUY,157.902,157.8275,158.0070742296719,0.01,-7.4500000000000455,SL,,5,0,2026-01-12 09:10:00,True,2026-01-12 09:10:00,2026-01
BUY,157.757,157.64142857142858,157.89839324337973,0.005,5.302246626739304,PARTIAL_TP,157.8630449325348,5,0,2026-01-12 11:35:00,,2026-01-12 11:35:00,2026-01
BUY,157.757,157.64142857142858,157.89839324337973,0.005,7.069662168986213,TP,,5,0,2026-01-12 10:00:00,False,2026-01-12 10:00:00,2026-01
BUY,158.037,157.9737142857143,158.12715194712555,0.01,9.01519471255483,TP,,6,2,2026-01-13 00:05:00,True,2026-01-13 00:05:00,2026-01
BUY,159.053,159.00114285714284,159.12430807628496,0.005,2.6740528606865155,PARTIAL_TP,159.10648105721373,5,0,2026-01-14 00:05:00,,2026-01-14 00:05:00,2026-01
BUY,159.053,159.00114285714284,159.12430807628496,0.005,3.565403814248214,TP,,5,0,2026-01-14 00:00:00,False,2026-01-14 00:00:00,2026-01
SELL,157.846,157.90732142857144,157.70428725907664,0.01,-6.132142857143209,SL,,0,6,2026-01-19 04:35:00,True,2026-01-19 04:35:00,2026-01
BUY,157.902,157.85457142857143,158.06207825173408,0.01,-4.742857142855428,SL,,6,0,2026-01-21 09:45:00,True,2026-01-21 09:45:00,2026-01
BUY,158.451,158.4115357142857,158.61829774463993,0.01,-3.9464285714302605,SL,,5,0,2026-01-22 17:05:00,True,2026-01-22 17:05:00,2026-01
SELL,154.126,154.22135714285713,153.89842723278184,0.01,-9.535714285712515,SL,,0,6,2026-01-26 14:50:00,True,2026-01-26 14:50:00,2026-01
SELL,154.214,154.31578571428574,153.9479188912341,0.01,-10.178571428573946,SL,,2,5,2026-01-26 15:00:00,True,2026-01-26 15:00:00,2026-01
BUY,156.755,156.6697142857143,156.86723825620695,0.005,4.208934607760284,PARTIAL_TP,156.8391786921552,7,1,2026-02-05 01:00:00,,2026-02-05 01:00:00,2026-02
BUY,156.755,156.6697142857143,156.86723825620695,0.005,5.611912810347519,TP,,7,1,2026-02-05 00:05:00,False,2026-02-05 00:05:00,2026-02
BUY,156.874,156.80167857142857,157.07605322768944,0.01,618.0000000000007,MARKET,,5,0,2026-02-05 15:00:00,True,2026-02-05 15:00:00,2026-02
BUY,156.894,156.79932142857143,157.05871482505233,0.01,615.9999999999997,MARKET,,5,0,2026-02-05 15:05:00,True,2026-02-05 15:05:00,2026-02
